Supplementary Table І,,,,,,,,,,,,,,,,,,
Detailed Informaion of Materials,,,,,,,,,,,,,,,,,,
No.,Chemical composition (wt%),,,,,,,Fabrication Processes,,,,,,,,,,
,Zn,Mg,Cu,Zr,Ti,Fe,Si,Casting Types,,Homogenization (℃/h),Extrusion,Solution Treatment (℃/h),Aging (℃/h),Tensile properties,,,Remarks,Specimens
,,,,,,,,Permanent mold,Billet,,O/X,,,YS (MPa),TS (MPa),EL (%),,
121,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,,,262,360,4.0 ,KIMS,7068
122,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,,,263,361,4.1 ,KIMS,7068
123,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,,,262,359,3.9 ,KIMS,7068
124,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,,383,522,12.4 ,KIMS,7068
125,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,,384,527,13.2 ,KIMS,7068
126,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,,382,531,14.2 ,KIMS,7068
127,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,,382,532,14.7 ,KIMS,7068
128,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,,382,537,16.0 ,KIMS,7068
129,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,120/24,553,624,11.7 ,KIMS,7068
130,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,120/24,551,617,12.4 ,KIMS,7068
131,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,470/24,120/24,551,630,11.5 ,KIMS,7068
